;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
119850;10024819;Wettstein;Wettstein;;Wettstein;Wettstein;;Wettsteinstrasse;;;;;;;;;;;;;;;;;Andere;Q676457;Q5;1594-10-27T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Wettstein%2C%20Johann%20Rudolf.jpg;male;Person;Wettsteinstrasse;Wettstein;;;;;Person
119862;10026523;Hermann Albrecht;Albrecht;PER;Hermann Albrecht;Albrecht;PER;Hermann Albrecht-Strasse;;;;;;;;;http://www.wikidata.org/entity/Q96675;Hermann Albrecht;männlich;1961-09-01T00:00:00Z;;http://www.wikidata.org/entity/Q529043;;;Person;Q104089;Q5;1835-05-05T00:00:00Z;kein;male;Person;Hermann Albrecht-Strasse;Hermann Albrecht;;;;;Person
119882;10127426;Peupliers;Peuplier;;Peupliers;peuplier;;Rue des Peupliers;Peuplier;;;;;;;;;;;;;;;;Lebewesen;Q25356;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Populus%20nigra0.jpg;;Lebewesen;Rue des Peupliers;Peupliers;;;;;Lebewesen
120022;10026521;Eugen Wullschleger;Wullschleger;PER;Eugen Wullschleger;Wullschleger;PER;Eugen Wullschleger-Strasse;;;;;;;;;http://www.wikidata.org/entity/Q1372980;Eugen Wullschleger;männlich;1862-01-08T00:00:00Z;1931-08-30T00:00:00Z;http://www.wikidata.org/entity/Q78;http://www.wikidata.org/entity/Q5262;;Person;Q1372980;Q5;1862-01-08T00:00:00Z;kein;male;Person;Eugen Wullschleger-Strasse;Eugen Wullschleger;;;;;Person
120025;10025628;Birmanns;Birmann;;Birmanns;Birmanns;;Birmannsgasse;Birma;;;;;;;;;;;;;;;;Lebewesen;Q353437;Q5;1758-12-14T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Birmann.jpeg;male;Person;Birmannsgasse;Birmanns;;;;;Person
120062;10029172;Otmar;Otmar;;Otmar;Otmar;PER;Otmarstrasse;;;;;;;;;;;;;;;;;Person;Q115719;Q5;0689-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Otmar%20von%20St-Gallen2.jpg;male;Person;Otmarstrasse;Otmar;;;;;Person
120072;10032270;Kamor;Kamor;;Kamor;kamor;;Kamorstrasse;;;;;Kamor;;;;;;;;;;;;Berg;Q1723237;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Kamor%20und%20Hoher%20Kasten.jpg;;Berg;Kamorstrasse;Kamor;;;;;Berg
120073;10234640;Drossel;Drossel;;Drossel;Drossel;;Drosselweg;Drossel;;;;;;;;;;;;;;;;Lebewesen;Q26050;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Turdus%20viscivorus%20Brych%20y%20coed.jpg;;Lebewesen;Drosselweg;Drossel;;;;;Lebewesen
120096;10115812;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
120100;10191264;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
120217;10033375;Otmar;Otmar;;Otmar;Otmar;PER;Otmarstrasse;;;;;;;;;;;;;;;;;Person;Q115719;Q5;0689-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Otmar%20von%20St-Gallen2.jpg;male;Person;Otmarstrasse;Otmar;;;;;Person
120220;10046696;Simon;Simon;;Simon;Simon;;Simonstrasse;;;;;;;;;http://www.wikidata.org/entity/Q359711;Simon;männlich;-0200-01-01T00:00:00Z;-0134-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q5687;;Person;Q15621581;Q5;1790-06-07T00:00:00Z;kein;male;Person;Simonstrasse;Simon;;;;;Person
120229;10146744;Dölli;Dölli;;Dölli;Dölli;;Döllistrasse;;;;;;;;;;;;;;;;;Andere;Q98446509;Q8436;9999;kein;;Person;Döllistrasse;Dölli;;;;;Person
120263;10214180;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
120275;10108239;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
120284;10089599;Henric Petri;Petri;PER;Henric Petri;Petri;PER;Henric Petri-Strasse;;;;;;;;;;;;;;;;;Person;Q55842868;Q5;1508-01-01T00:00:00Z;kein;male;Person;Henric Petri-Strasse;Henric Petri;;;;;Person
120357;10033525;Kugel;Kugel;;Kugel;Kugel;PER;Kugelgasse;;;;;;;;;;;;;;;;;Person;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;Kugelgasse;Kugel;;;;;Andere
120367;10108251;Froben;Frobe;;Froben;Froben;;Frobenstrasse;;;;;;;;;;;;;;;;;Andere;Q116611;Q5;1460-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Froben%2C%20by%20Hans%20Holbein%20the%20Younger.jpg;male;Person;Frobenstrasse;Froben;;;;;Person
120531;10063735;Wengi;wengi;;Wengi;Wengi;;Wengistrasse;;Wengi;;;;;;;;;;;;;;;Ortschaft;Q1990487;Q5;1485-01-01T00:00:00Z;kein;male;Person;Wengistrasse;Wengi;;;;;Person
120567;10027529;Hans Huber;Huber;PER;Hans Huber;Huber;PER;Hans Huber-Strasse;;;;;;;;;http://www.wikidata.org/entity/Q673938;Hans Huber;männlich;1852-06-28T00:00:00Z;1921-12-25T00:00:00Z;http://www.wikidata.org/entity/Q65597;http://www.wikidata.org/entity/Q11935;;Person;Q673938;Q5;1852-06-28T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Huber%20Hans.png;male;Person;Hans Huber-Strasse;Hans Huber;;;;;Person
120622;10212950;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
120630;10100617;Schlatter;Schlatter;;Schlatter;Schlatter;PER;Schlatterstrasse;;Schlatt;;;;;;;;;;;;;;;Person;Q563175;Q5;1773-11-03T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Schlatter-anna-ninck-johannes-anna-schlatter-und-ihre-kinder-leipzig-schloessmanns-1934-vorsatz.jpg;female;Person;Schlatterstrasse;Schlatter;;;;;Person
120634;10026711;Zschokke;Zschokke;;Zschokke;Zschokke;;Zschokkestrasse;;;;;;;;;;;;;;;;;Andere;Q66207;Q5;1771-03-22T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zschokke.jpg;male;Person;Zschokkestrasse;Zschokke;;;;;Person
120636;10046652;Kamor;Kamor;;Kamor;kamor;;Kamorstrasse;;;;;Kamor;;;;;;;;;;;;Berg;Q1723237;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Kamor%20und%20Hoher%20Kasten.jpg;;Berg;Kamorstrasse;Kamor;;;;;Berg
120647;10070926;Kugel;Kugel;;Kugel;Kugel;PER;Kugelgasse;;;;;;;;;;;;;;;;;Person;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;Kugelgasse;Kugel;;;;;Andere
120650;10130028;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
120654;10032200;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
120745;10100652;Industrie;Industrie;;Industrie;Industrie;;Rue de l'Industrie;;;;;;industrie;;;;;;;;;;;Siedlung;Q8148;Q3958441;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dormagen%20industry.JPG;;Andere;Rue de l'Industrie;Industrie;;;;;Andere
120755;10089776;Pestalozzi;Pestalozzi;;Pestalozzi;Pestalozzi;;Pestalozzistrasse;;;;;;;;;;;;;;;;;Andere;Q105428;Q5;1746-01-12T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Pestalozzi%20%28Real%20Academia%20de%20Bellas%20Artes%20de%20San%20Fernando%2C%20Madrid%29.jpg;male;Person;Pestalozzistrasse;Pestalozzi;;;;;Person
120760;10025639;Gellert;Gellert;;Gellert;Gellert;;Gellertstrasse;;;;;;;;;;;;;;;;;Andere;Q60584;Q5;1715-07-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20F%C3%BCrchtegott%20Gellert.jpg;male;Person;Gellertstrasse;Gellert;;;;;Person
120765;10063518;Fritz Hauser;Hauser;PER;Fritz Hauser;Hauser;PER;Fritz Hauser-Strasse;;;;;;haus;;;http://www.wikidata.org/entity/Q681957;Fritz Hauser;männlich;1953-03-29T00:00:00Z;;http://www.wikidata.org/entity/Q78;;;Siedlung;Q15621718;Q5;1884-06-03T00:00:00Z;kein;male;Person;Fritz Hauser-Strasse;Fritz Hauser;;;;;Person
120795;10025601;Zehnder;Zehnder;;Zehnder;Zehnder;;Zehnderweg;;;;;;;;;;;;;;;;;Andere;Q2226220;Q5;1798-01-01T00:00:00Z;kein;male;Person;Zehnderweg;Zehnder;;;;;Person
120937;10089565;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
121059;10023587;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
121154;10091040;Engelberg;Engelberg;;Engelberg;Engelberg;;Engelbergstrasse;;Engelberg;;;berg$;;;;;;;;;;;;Berg;Q64108;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelberg.jpg;;Ortschaft;Engelbergstrasse;Engelberg;;;;;Ortschaft
121215;10089970;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
121326;10025871;Lilien;Lilie;;Lilien;Lilien;;Lilienweg;Lilie;;;;;;;;;;;;;;;;Lebewesen;Q5194627;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg;;Lebewesen;Lilienweg;Lilien;;;;;Lebewesen
121557;10016385;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
121567;10094900;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
121580;10024980;Pilatus;Pilatus;;Pilatus;Pilatus;ORG;Pilatusstrasse;;Pilatus;;;Pilatus;;;;;;;;;;;;Berg;Q15265;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Pilatus%20%28mountain%29.JPG;;Berg;Pilatusstrasse;Pilatus;;;;;Berg
121689;10128809;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
121705;10027178;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
121819;10066450;Venus;Venus;;Venus;Venus;;Venusstrasse;;;;;;;;;;;;;;;;;Andere;Q47652;Q205985;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Venus%20Arles.jpg;female;Religion;Venusstrasse;Venus;;;;;Religion
121822;10026085;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
122024;10209660;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
122026;10245619;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
122150;10180280;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
122169;10214831;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
122249;10027356;Engelberg;Engelberg;;Engelberg;Engelberg;;Engelbergstrasse;;Engelberg;;;berg$;;;;;;;;;;;;Berg;Q64108;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelberg.jpg;;Ortschaft;Engelbergstrasse;Engelberg;;;;;Ortschaft
122264;10214810;Libellen;Libelle;;Libellen;Libellen;;Libellenweg;Libelle;;;;;;;;;;;;;;;;Lebewesen;Q25375;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Orthetrum%20cancellatum.jpg;;Lebewesen;Libellenweg;Libellen;;;;;Lebewesen
122282;10051002;Engelberg;Engelberg;;Engelberg;Engelberg;;Engelbergstrasse;;Engelberg;;;berg$;;;;;;;;;;;;Berg;Q64108;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelberg.jpg;;Ortschaft;Engelbergstrasse;Engelberg;;;;;Ortschaft
122321;10022932;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
122426;10022640;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
122513;10027195;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
122518;10178126;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
122711;10186204;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
122759;10149027;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
122764;10091052;Wengi;wengi;;Wengi;Wengi;;Wengistrasse;;Wengi;;;;;;;;;;;;;;;Ortschaft;Q1990487;Q5;1485-01-01T00:00:00Z;kein;male;Person;Wengistrasse;Wengi;;;;;Person
122765;10091037;Born;Born;;Born;Born;;Bornweg;;;;;Born;;;;;;;;;;;;Berg;Q52155765;Q5;1864-11-28T00:00:00Z;kein;male;Person;Bornweg;Born;;;;;Person
122908;10065899;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
122930;10027197;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
122940;10180287;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
122948;10088806;Gotthelf;Gotthelf;;Gotthelf;Gotthelf;;Gotthelfweg;;;;;;;;;;;;;;;;;Andere;Q122358;Q5;1797-10-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JeremiasGotthelf.jpg;male;Person;Gotthelfweg;Gotthelf;;;;;Person
122969;10024573;Anna;Anna;;Anna;Anna;;St. Annagasse;;;;;;;;;http://www.wikidata.org/entity/Q160165;Anna;weiblich;1693-02-07T00:00:00Z;1740-10-28T00:00:00Z;http://www.wikidata.org/entity/Q649;http://www.wikidata.org/entity/Q656;;Religion;Q164294;Q20643955;-0054-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Faras%20Saint%20Anne%20%28detail%29.jpg;female;Religion;St. Annagasse;Anna;;;;;Religion
123154;10116666;Gotthelf;Gotthelf;;Gotthelf;Gotthelf;;Gotthelfweg;;;;;;;;;;;;;;;;;Andere;Q122358;Q5;1797-10-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JeremiasGotthelf.jpg;male;Person;Gotthelfweg;Gotthelf;;;;;Person
123226;10026122;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
123234;10071970;Kamor;Kamor;;Kamor;kamor;;Kamorstrasse;;;;;Kamor;;;;;;;;;;;;Berg;Q1723237;Q8502;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Kamor%20und%20Hoher%20Kasten.jpg;;Berg;Kamorstrasse;Kamor;;;;;Berg
123258;10025047;Susten;Sust;;Susten;Susten;;Sustenstrasse;;Susten;;;Susten;;;;;;;;;;;;Berg;Q666086;Q133056;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Am%20Sustenpass.jpg;;Berg;Sustenstrasse;Susten;;;;;Berg
123272;10051315;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
123273;10175694;Fatio;Fatio;;Fatio;Fatio;;Fatiostrasse;;;;;;;;;;;;;;;;;Andere;Q1697479;Q5;1649-06-14T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Fatio.jpg;male;Person;Fatiostrasse;Fatio;;;;;Person
123296;10104849;Bachofen;Bachofe;LOC;Bachofen;Bachofen;;Bachofenstrasse;;;;;;;;;;;;;;;;;Andere;Q123861;Q5;1815-12-22T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Jakob%20Bachofen%20by%20Jenny%20Burckhardt.jpg;male;Person;Bachofenstrasse;Bachofen;;;;;Person
123298;10026186;Theodor Herzl;Herzl;PER;Theodor Herzl;herzl;PER;Theodor Herzl-Strasse;;;;;;;;;http://www.wikidata.org/entity/Q44003;Theodor Herzl;männlich;1860-05-02T00:00:00Z;1904-07-03T00:00:00Z;http://www.wikidata.org/entity/Q210205;http://www.wikidata.org/entity/Q665243;;Person;Q44003;Q5;1860-05-02T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Herzl.jpg;male;Person;Theodor Herzl-Strasse;Theodor Herzl;;;;;Person
123374;10024640;Wengi;wengi;;Wengi;Wengi;;Wengistrasse;;Wengi;;;;;;;;;;;;;;;Ortschaft;Q1990487;Q5;1485-01-01T00:00:00Z;kein;male;Person;Wengistrasse;Wengi;;;;;Person
123508;10103341;Zyli;Zyli;;Zyli;zyli;;Zylistrasse;;;;;;;;;;;;;;;;;Andere;Q99364768;Q8436;9999;kein;;Person;Zylistrasse;Zyli;;;;;Person
123514;10073297;Erika;Erika;;Erika;Erika;MISC;Erikastrasse;;;;;;;;;http://www.wikidata.org/entity/Q2295460;Erika;weiblich;1984-02-05T00:00:00Z;;http://www.wikidata.org/entity/Q13410;;;Person;Q96489752;Q5;1907-11-11T00:00:00Z;kein;female;Person;Erikastrasse;Erika;;;;;Person
123524;10090078;Engelberg;Engelberg;;Engelberg;Engelberg;;Engelbergstrasse;;Engelberg;;;berg$;;;;;;;;;;;;Berg;Q64108;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelberg.jpg;;Ortschaft;Engelbergstrasse;Engelberg;;;;;Ortschaft
123538;10085701;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
123573;10024778;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
123612;10027217;Verena;Verena;;Verena;Verena;;Verenastrasse;;;;;;;;;http://www.wikidata.org/entity/Q437896;Verena;weiblich;0300-01-01T00:00:00Z;0400-01-01T00:00:00Z;http://www.wikidata.org/entity/Q101583;http://www.wikidata.org/entity/Q64186;;Person;Q109981358;Q5;1350-01-01T00:00:00Z;kein;female;Person;Verenastrasse;Verena;;;;;Person
123707;10125845;Rudolf;Rudolf;;Rudolf;Rudolf;;Rudolfstrasse;;;;;;;;;http://www.wikidata.org/entity/Q519491;Rudolf;männlich;1576-11-07T00:00:00Z;1621-08-20T00:00:00Z;http://www.wikidata.org/entity/Q526353;http://www.wikidata.org/entity/Q155981;;Person;Q76956;Q5;1218-05-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Rudolph%20I%20of%20Austria.jpg;male;Person;Rudolfstrasse;Rudolf;;;;;Person
123748;10055972;Tell;Tell;;Tell;Tell;;Tellstrasse;;;;;;;;;;;;;;;;;Andere;Q30908;Q15632617;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Danise%20in%20%22William%20Tell%22%20LCCN2014715543.jpg;male;Andere;Tellstrasse;Tell;;;;;Andere
123922;10214940;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
124088;10190331;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
124094;10065879;Rudolf Steiner;Steiner;PER;Rudolf Steiner;Steiner;PER;Rudolf Steiner-Weg;;;;;;;;;http://www.wikidata.org/entity/Q78484;Rudolf Steiner;männlich;1861-02-27T00:00:00Z;1925-03-30T00:00:00Z;http://www.wikidata.org/entity/Q746303;http://www.wikidata.org/entity/Q64694;;Person;Q78484;Q5;1861-02-27T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Steiner%20um%201905.jpg;male;Person;Rudolf Steiner-Weg;Rudolf Steiner;;;;;Person
124138;10105218;Celtes;Celtes;;Celtes;Celtes;;Chemin des Celtes;;;;;;;;;;;;;;;;;Andere;Q35966;Q11042;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Galician%20Celtic%20Stele%20-%20Estela%20Galaica.jpg;;Andere;Chemin des Celtes;Celtes;;;;;Andere
124161;10026789;Reding;Reding;;Reding;Reding;;Redingstrasse;;;;;;;;;;;;;;;;;Andere;Q335977;Q5;1765-03-06T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Alois%20von%20Reding.jpg;male;Person;Redingstrasse;Reding;;;;;Person
124163;10110187;Emil Angst;Angst;PER;Emil Angst;Angst;PER;Emil Angst-Strasse;;;;;;;;;;;;;;;;;Person;Q111628393;Q5;1861-01-01T00:00:00Z;kein;male;Person;Emil Angst-Strasse;Emil Angst;;;;;Person
124364;10114188;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
